 ,GSDB No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Data Status,Data Superseded,Superseded by UID No,Test Engine Status,Data corr as Annex 16,Current Engine Status,Current Engine Status Date,HC EI T/O (g/kg),HC EI C/O (g/kg),HC EI App (g/kg),HC EI Idle (g/kg),HC Number Test,HC Number Eng,HC Dp/Foo Avg (g/kN),HC Dp/Foo Sigma (g/kN),HC Dp/Foo Min (g/kN),HC Dp/Foo Max (g/kN),HC Dp/Foo Characteristic (g/kN),HC Dp/Foo Characteristic (% of Reg limit) ,HC LTO Total mass (g),CO EI T/O (g/kg),CO EI C/O (g/kg),CO EI App (g/kg),CO EI Idle (g/kg),CO Number Test,CO Number Eng,CO Dp/Foo Avg (g/kN),CO Dp/Foo Sigma (g/kN),CO Dp/Foo Min (g/kN),CO Dp/Foo Max (g/KN),CO Dp/Foo Characteristic (g/kN),CO Dp/Foo Characteristic (% of Reg limit) ,CO LTO Total Mass (g),NOx EI T/O (g/kg),NOx EI C/O (g/kg),NOx EI App (g/kg),NOx EI Idle (g/kg),NOx Number Test,NOx Number Eng,NOx Dp/Foo Avg (g/kN),NOx Dp/Foo Sigma (g/kN),NOx Dp/Foo Min (g/kN),NOx Dp/Foo Max (g/kN),NOx Dp/Foo Characteristic (g/kN),NOx Dp/Foo Characteristic (% of original standard) ,NOx Dp/Foo Characteristic (% of CAEP/2 standard),NOx Dp/Foo Characteristic (% of CAEP/4 standard),NOx Dp/Foo Characteristic (% of CAEP/6 standard),NOx Dp/Foo Characteristic (% of CAEP/8 standard),NOx Compliance Demonstration §,NOx LTO Total mass (g),SN T/O,SN C/O,SN App,SN Idle,SN Number Test,SN Number Eng,SN Max,SN Sigma,SN Range Min,SN Range Max,SN Characteristic,SN Characteristic (% of Reg limit),Fuel Spec,Fuel H/C Ratio Min,Fuel H/C Ratio Max,Fuel Arom Min (%),Fuel Arom Max (%),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Loads Power Extraction (kW),Loads Power Extraction @Power,Loads Stage Bleed CF (%),Loads Stage Bleed @Power,Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg),Test Organisation,Test Location,Initial Test Date,Final Test Date,Compliance with fuel venting requirements,Remark 1,Remark 2,Remark 3,Remark 4,Remark 5,Remark 6,Remark 7,Remark 8
01P22PW166,22,Pratt & Whitney,PW1133GA-JM,"TALON X, Block-D",TF,11.6,38.1,147.3,C,,,DTEPS,Yes,,,0.07,0.07,0.06,0.36,4,1,0.5,,,,0.7,3.7,70,0.24,0.26,2.87,21.55,4,1,24.2,,,,29.7,25.1,3558,28.88,22.01,10.79,5.74,4,1,35.9,,,,41.6,35.8,44.8,50.0,55.4,62.8,2.3.2 e),5284,8.7,7.3,0.3,0.7,4,1,8.7,,,,11.1,52.3,Jet A,1.91,1.93,16.3,16.8,1.023,0.839,0.278,0.099,375,0,,0,,101.5,102.2,279.6,300.80,0.00358,0.01201,Pratt & Whitney,"W. Palm Beach,FL",18/01/2020,21/01/2020,Yes,Data from certification report PWA-12090,1 engine tested,"TALON-X, Block-D combustor","Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",,,,
01P22PW167,22,Pratt & Whitney,PW1133G-JM,"TALON X, Block-D",TF,11.6,38.1,147.3,C,,,DTEPS,Yes,,,0.07,0.07,0.06,0.36,4,1,0.5,,,,0.7,3.7,70,0.24,0.26,2.87,21.55,4,1,24.2,,,,29.7,25.1,3558,28.88,22.01,10.79,5.74,4,1,35.9,,,,41.6,35.8,44.8,50.0,55.4,62.8,2.3.2 e),5284,8.7,7.3,0.3,0.7,4,1,8.7,,,,11.1,52.3,Jet A,1.91,1.93,16.3,16.8,1.023,0.839,0.278,0.099,375,0,,0,,101.5,102.2,279.6,300.80,0.00358,0.01201,Pratt & Whitney,"W. Palm Beach,FL",18/01/2020,21/01/2020,Yes,Data from certification report PWA-12090,1 engine tested,"TALON-X, Block-D combustor","Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",,,,
01P22PW168,22,Pratt & Whitney,PW1215G,"TALON X, Block-C",TF,8.6,29.4,67.7,C,,,DTEPS,Yes,,,0.03,0.02,0.02,0.02,3,1,0.1,,0.06,0.07,0.1,0.5,4,0.4,0.4,3.0,16.0,3,1,26.1,,24.4,27.5,32.1,27,1768,20.0,15.8,8.3,4.8,3,1,33.2,,32.8,33.7,38.4,39,49,55,59,66,2.3.2 e),2244,3.0,1.8,0.4,0.4,3,1,3.0,,3.0,3.1,3.9,15,Jet A,1.9,1.9,18.0,18.7,0.551,0.461,0.166,0.065,225,0,,0,,101.2,102.3,276.5,293.2,0.00108,0.00576,Pratt & Whitney,"East Hartford, CT",28/03/2019,01/04/2019,Yes,Data from certification report PWA-12113,Block C Combustor,"Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",,,,,
01P22PW169,22,Pratt & Whitney,PW1217G,"TALON X, Block-C",TF,8.3,32.7,75.7,C,,,DTEPS,Yes,,,0.04,0.02,0.01,0.01,3,1,0.1,,0.05,0.07,0.1,0.5,5,0.3,0.4,2.5,14.2,3,1,22.2,,20.8,23.2,27.2,23,1678,25.3,18.6,8.6,5.1,3,1,38.2,,37.8,38.4,44.3,42,53,59,65,73,2.3.2 e),2891,3.7,2.7,0.4,0.4,3,1,3.7,,3.4,4.0,4.8,19,Jet A,1.9,1.9,18.0,18.7,0.634,0.524,0.184,0.069,248,0,,0,,101.2,102.3,276.5,293.2,0.00108,0.00576,Pratt & Whitney,"East Hartford, CT",28/03/2019,01/04/2019,Yes,Data from certification report PWA-12113,Block C Combustor,"Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",,,,,
01P22PW176,22,Pratt & Whitney,PW1428GH-JM,"TALON X, Block-D",TF,12.1,33.3,132.4,C,,,DTEPS,Yes,,,0.07,0.07,0.06,0.41,4,1,0.5,,,,0.8,4.2,70,0.25,0.32,4.05,23.21,4,1,26.7,,,,32.8,27.8,3541,23.01,18.37,10.69,5.42,4,1,30.1,,,,34.9,31.2,39.0,44.2,49.2,56.2,2.3.2 e),3989,7.9,5.9,0.3,0.7,4,1,7.9,,,,10.2,47.3,Jet A,1.91,1.93,16.3,16.8,0.870,0.720,0.250,0.090,332,0,,0,,101.5,102.2,279.6,300.8,0.00358,0.01201,Pratt & Whitney,"W. Palm Beach,FL",18/01/2020,21/01/2020,Yes,Data from certification report PWA-12091,1 engine tested,"TALON-X, Block-D combustor","Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",,,,
01P22PW177,22,Pratt & Whitney,PW1428GA-JM,"TALON X, Block-D",TF,12.1,33.3,132.4,C,,,DTEPS,Yes,,,0.07,0.07,0.06,0.41,4,1,0.5,,,,0.8,4.2,70,0.25,0.32,4.05,23.21,4,1,26.7,,,,32.8,27.8,3541,23.01,18.37,10.69,5.42,4,1,30.1,,,,34.9,32.8,40.9,47.4,53.2,61.5,2.3.2 e),3989,7.9,5.9,0.3,0.7,4,1,7.9,,,,10.2,46.6,Jet A,1.91,1.93,16.3,16.8,0.870,0.720,0.250,0.090,332,0,,0,,101.5,102.2,279.6,300.8,0.00358,0.01201,Pratt & Whitney,"W. Palm Beach,FL",18/01/2020,21/01/2020,Yes,Data from certification report PWA-12091,1 engine tested,"TALON-X, Block-D combustor","Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",,,,
01P22PW178,22,Pratt & Whitney,PW1428G-JM,"TALON X, Block-D",TF,12.1,33.3,132.4,C,,,DTEPS,Yes,,,0.07,0.07,0.06,0.41,4,1,0.5,,,,0.8,4.2,70,0.25,0.32,4.05,23.21,4,1,26.7,,,,32.8,27.8,3541,23.01,18.37,10.69,5.42,4,1,30.1,,,,34.9,32.8,40.9,47.4,53.2,61.5,2.3.2 e),3989,7.9,5.9,0.3,0.7,4,1,7.9,,,,10.2,46.6,Jet A,1.91,1.93,16.3,16.8,0.870,0.720,0.250,0.090,332,0,,0,,101.5,102.2,279.6,300.8,0.00358,0.01201,Pratt & Whitney,"W. Palm Beach,FL",18/01/2020,21/01/2020,Yes,Data from certification report PWA-12091,1 engine tested,"TALON-X, Block-D combustor","Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",,,,
01P22PW179,22,Pratt & Whitney,PW1431GH-JM,"TALON X, Block-D",TF,11.9,35.6,140.4,C,,,DTEPS,Yes,,,0.07,0.07,0.06,0.37,4,1,0.5,,,,0.7,3.7,66,0.24,0.28,3.33,22.13,4,1,23.9,,,,29.4,24.9,3361,25.89,20.23,10.75,5.62,4,1,32.8,,,,38.0,34.2,42.7,48.6,54.1,62.0,2.3.2 e),4601,8.4,6.7,0.3,0.7,4,1,8.4,,,,10.9,50.4,Jet A,1.91,1.93,16.3,16.8,0.950,0.780,0.270,0.090,348,0,,0,,101.5,102.2,279.6,300.8,0.00358,0.01201,Pratt & Whitney,"W. Palm Beach,FL",18/01/2020,21/01/2020,Yes,Data from certification report PWA-12091,1 engine tested,"TALON-X, Block-D combustor","Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",,,,
01P22PW180,22,Pratt & Whitney,PW1431GA-JM,"TALON X, Block-D",TF,11.9,35.6,140.4,C,,,DTEPS,Yes,,,0.07,0.07,0.06,0.37,4,1,0.5,,,,0.7,3.7,66,0.24,0.28,3.33,22.13,4,1,23.9,,,,29.4,24.9,3361,25.89,20.23,10.75,5.62,4,1,32.8,,,,38.0,34.2,42.7,48.6,54.1,62.0,2.3.2 e),4601,8.4,6.7,0.3,0.7,4,1,8.4,,,,10.9,50.4,Jet A,1.91,1.93,16.3,16.8,0.950,0.780,0.270,0.090,348,0,,0,,101.5,102.2,279.6,300.8,0.00358,0.01201,Pratt & Whitney,"W. Palm Beach,FL",18/01/2020,21/01/2020,Yes,Data from certification report PWA-12091,1 engine tested,"TALON-X, Block-D combustor","Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",,,,
01P22PW181,22,Pratt & Whitney,PW1431G-JM,"TALON X, Block-D",TF,11.9,35.6,140.4,C,,,DTEPS,Yes,,,0.07,0.07,0.06,0.37,4,1,0.5,,,,0.7,3.7,66,0.24,0.28,3.33,22.13,4,1,23.9,,,,29.4,24.9,3361,25.89,20.23,10.75,5.62,4,1,32.8,,,,38.0,34.2,42.7,48.6,54.1,62.0,2.3.2 e),4601,8.4,6.7,0.3,0.7,4,1,8.4,,,,10.9,50.4,Jet A,1.91,1.93,16.3,16.8,0.950,0.780,0.270,0.090,348,0,,0,,101.5,102.2,279.6,300.8,0.00358,0.01201,Pratt & Whitney,"W. Palm Beach,FL",18/01/2020,21/01/2020,Yes,Data from certification report PWA-12091,1 engine tested,"TALON-X, Block-D combustor","Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",,,,
04P20PW195,20,Pratt & Whitney,PW1525G,"TALON X, Block-C",TF,11.1,38.7,108.5,C,,,DTEPS,Yes,,,0,0,0.1,0.1,3,1,0.2,,0.1,0.2,0.3,2,18,0,0,1.8,16.7,3,1,19.2,,19.1,19.3,23.6,20,2084,26,20.5,10.4,6,3,1,36,,35.6,36.3,41.7,36,44,49,55,62,2.3.2 e),3903,3.4,2,0.8,0.5,3,1,3.4,,3,4.3,4.4,19,Jet A,1.94,1.94,17.8,18.4,0.790,0.650,0.230,0.080,292,0,,0,,102.0,103.3,272,278.1,0.00122,0.00221,Pratt & Whitney,Mirabel Aerospace Centre - Quebec,25/03/2018,26/03/2018,Yes,Data from Certification Report PWA-11600,Block C combustor,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
04P20PW196,20,Pratt & Whitney,PW1524G,"TALON X, Block-C",TF,11.1,38.7,108.5,C,,,DTEPS,Yes,,,0,0,0.1,0.1,3,1,0.2,,0.1,0.2,0.3,1.5,18,0,0,1.8,16.7,3,1,19.2,,19.1,19.3,23.6,20,2084,26,20.5,10.4,6,3,1,36,,35.6,36.3,41.7,36,44,49,55,62,2.3.2 e),3903,3.4,2,0.8,0.5,3,1,3.4,,3,4.3,4.4,19,Jet A,1.94,1.94,17.8,18.4,0.790,0.650,0.230,0.080,292,0,,0,,102.0,103.3,272,278.1,0.00122,0.00221,Pratt & Whitney,Mirabel Aerospace Centre - Quebec,25/03/2018,26/03/2018,Yes,Data from Certification Report PWA-11600,Block C combustor,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
04P20PW197,20,Pratt & Whitney,PW1521G,"TALON X, Block-C",TF,11.4,35.1,97.7,C,,,DTEPS,Yes,,,0,0,0.1,0.1,3,1,0.2,,0.2,0.3,0.3,2,20,0,0,2.5,19.3,3,1,23.1,,22.9,23.4,28.4,24,2260,22.1,18.1,10.1,5.6,3,1,32.1,,31.8,32.3,37.2,34,42,48,54,62,2.3.2 e),3139,2.4,1.5,0.8,0.5,3,1,2.4,,2.1,2.8,3.1,13,Jet A,1.94,1.94,17.8,18.4,0.690,0.580,0.210,0.070,265,0,,0,,102.0,103.3,272,278.1,0.00122,0.00221,Pratt & Whitney,Mirabel Aerospace Centre - Quebec,25/03/2018,26/03/2018,Yes,Data from Certification Report PWA-11600,Block C combustor,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
04P20PW198,20,Pratt & Whitney,PW1521GA,"TALON X, Block-C",TF,11.4,35.1,97.7,C,,,DTEPS,Yes,,,0,0,0.1,0.1,3,1,0.2,,0.2,0.3,0.3,2,20,0,0,2.5,19.3,3,1,23.1,,22.9,23.4,28.4,24,2260,22.1,18.1,10.1,5.6,3,1,32.1,,31.8,32.3,37.2,34,42,48,54,62,2.3.2 e),3139,2.4,1.5,0.8,0.5,3,1,2.4,,2.1,2.8,3.1,13,Jet A,1.94,1.94,17.8,18.4,0.690,0.580,0.210,0.070,265,0,,0,,102.0,103.3,272,278.1,0.00122,0.00221,Pratt & Whitney,Mirabel Aerospace Centre - Quebec,25/03/2018,26/03/2018,Yes,Data from Certification Report PWA-11600,Block C combustor,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
04P20PW199,20,Pratt & Whitney,PW1519G,"TALON X, Block-C",TF,11.6,32.3,88.0,C,,,DTEPS,Yes,,,0,0,0.1,0.2,3,1,0.3,,0.2,0.4,0.4,2,23,0,0,3.3,21.4,3,1,27.3,,27,27.8,33.5,28,2399,19.6,16.6,9.8,5.3,3,1,30.2,,30,30.4,35,33,42,49,55,64,2.3.2 e),2656,1.7,1.2,0.8,0.4,3,1,1.7,,1.4,1.9,2.2,9,Jet A,1.94,1.94,17.8,18.4,0.620,0.520,0.190,0.070,246,0,,0,,102.0,103.3,272,278.1,0.00122,0.00221,Pratt & Whitney,Mirabel Aerospace Centre - Quebec,25/03/2018,26/03/2018,Yes,Data from Certification Report PWA-11600,Block C combustor,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
04P20PW200,20,Pratt & Whitney,PW1919G,"TALON X, Block-C",TF,11.6,33.3,92.8,C,,,DTEPS,Yes,,,0,0,0.1,0.2,3,1,0.3,,0.2,0.4,0.4,2,25,0,0,3.3,22.2,3,1,27,,26.7,27.6,33.2,28,2508,20,16.7,9.8,5.2,3,1,29.6,,29.4,29.8,34.3,32,40,47,52,61,2.3.2 e),2746,2,1.3,0.8,0.5,3,1,2,,1.7,2.3,2.6,11,Jet A,1.94,1.94,17.8,18.4,0.650,0.540,0.200,0.070,252,0,,0,,102.0,103.3,272,278.1,0.00122,0.00221,Pratt & Whitney,Mirabel Aerospace Centre - Quebec,25/03/2018,26/03/2018,Yes,Data from Certification Report PWA-11601,Block C combustor,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
04P20PW201,20,Pratt & Whitney,PW1921G,"TALON X, Block-C",TF,11.4,35.8,100.3,C,,,DTEPS,Yes,,,0,0,0.1,0.1,3,1,0.2,,0.2,0.3,0.3,2,21,0,0,2.7,19.8,3,1,23.5,,23.3,23.8,28.8,24,2356,22.2,18.1,10,5.5,3,1,31.9,,31.6,32.1,37,33,41,47,52,60,2.3.2 e),3199,2.6,1.6,0.8,0.5,3,1,2.6,,2.3,3.1,3.3,14,Jet A,1.94,1.94,17.8,18.4,0.710,0.590,0.210,0.070,270,0,,0,,102.0,103.3,272,278.1,0.00122,0.00221,Pratt & Whitney,Mirabel Aerospace Centre - Quebec,25/03/2018,26/03/2018,Yes,Data from Certification Report PWA-11601,Block C combustor,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
04P20PW202,20,Pratt & Whitney,PW1922G,"TALON X, Block-C",TF,11.2,37.7,105.9,C,,,DTEPS,Yes,,,0,0,0.1,0.1,3,1,0.2,,0.1,0.3,0.3,2,19,0,0,2.3,18.4,3,1,21.3,,21.1,21.5,26.1,22,2256,24.2,19.3,10.2,5.7,3,1,34,,33.7,34.2,39.4,34,43,48,53,60,2.3.2 e),3599,3.1,1.8,0.8,0.5,3,1,3.1,,2.7,3.9,4,17,Jet A,1.94,1.94,17.8,18.4,0.760,0.630,0.220,0.070,285,0,,0,,102.0,103.3,272,278.1,0.00122,0.00221,Pratt & Whitney,Mirabel Aerospace Centre - Quebec,25/03/2018,26/03/2018,Yes,Data from Certification Report PWA-11601,Block C combustor,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
04P20PW203,20,Pratt & Whitney,PW1923G-A,"TALON X, Block-C",TF,11.2,37.7,105.9,C,,,DTEPS,Yes,,,0,0,0.1,0.1,3,1,0.2,,0.1,0.3,0.3,2,19,0,0,2.3,18.4,3,1,21.3,,21.1,21.5,26.1,22,2256,24.2,19.3,10.2,5.7,3,1,34,,33.7,34.2,39.4,34,43,48,53,60,2.3.2 e),3599,3.1,1.8,0.8,0.5,3,1,3.1,,2.7,3.9,4,17,Jet A,1.94,1.94,17.8,18.4,0.760,0.630,0.220,0.070,285,0,,0,,102.0,103.3,272,278.1,0.00122,0.00221,Pratt & Whitney,Mirabel Aerospace Centre - Quebec,25/03/2018,26/03/2018,Yes,Data from Certification Report PWA-11601,Block C combustor,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
04P20PW204,20,Pratt & Whitney,PW1923G,"TALON X, Block-C",TF,11.2,37.7,105.9,C,,,DTEPS,Yes,,,0,0,0.1,0.1,3,1,0.2,,0.1,0.3,0.3,2,19,0,0,2.3,18.4,3,1,21.3,,21.1,21.5,26.1,22,2256,24.2,19.3,10.2,5.7,3,1,34,,33.7,34.2,39.4,34,43,48,53,60,2.3.2 e),3599,3.1,1.8,0.8,0.5,3,1,3.1,,2.7,3.9,4,17,Jet A,1.94,1.94,17.8,18.4,0.760,0.630,0.220,0.070,285,0,,0,,102.0,103.3,272,278.1,0.00122,0.00221,Pratt & Whitney,Mirabel Aerospace Centre - Quebec,25/03/2018,26/03/2018,Yes,Data from Certification Report PWA-11601,Block C combustor,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
03P16PW192,16,Pratt & Whitney Canada,PW307A,TALON II,MTF,4.2,20.2,28.5,C/R,,,NME/DTEPS,Yes,,,0,0,0,1.99,3,3,4.8,1.5,3.2,6.2,5.6,28.6,137,0.27,0.23,3.23,36.92,3,3,91.6,6.5,85.4,98.4,99.1,84,2625,18.28,15.58,8.77,2.86,3,3,42.8,0.7,42,43.3,45.3,56.3,70.4,70.8,71,75,2.3.2 e),1221,0.7,0.3,0,1.7,3,3,1.7,0.2,1.5,1.9,1.9,5.7,Jet A-1,1.86,1.87,19.8,21,0.327,0.272,0.102,0.044,143,0,,0,,98.3,100.7,275,278,0.0024,0.0047,PW307 Development Engineering,"Mississauga, Ontario, Canada",16/02/2012,23/02/2012,Yes,P&WC ER 5606 revision B,"Engines tested: CH0581/01, CH0582/01, CH0583/01","Weight reduced fuel nozzles and CCOC, aft shifted liner",Engines CH0581 onwards incorporate this combustion system design standard,Defined by P&WC Engineering Change E6298,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",
03P15PW193,15,Pratt & Whitney Canada,PW307D,TALON II,MTF,4.2,21.4,29.9,C,,,NME/DTEPS,Yes,,,0,0,0,0.75,4,3,1.8,0.5,1.2,2.4,2.1,10.7,54,0,0.02,2.57,26.75,4,3,66.8,3.4,62.7,70.2,72.3,61.3,1997,20.61,15.44,7.85,4.32,4,3,46.6,3.5,43.4,51,49.3,59.4,74.3,75,75.4,79.8,2.3.2 e),1393,0.8,0.9,0,2,4,3,2,0.5,1.4,2.5,2.2,6.7,Jet A-1,1.86,1.88,21.6,21.2,0.355,0.277,0.112,0.046,150,0,,0,,99.1,99.3,294,299,0.0096,0.0122,PW307 Development Engineering,"Mississauga, Ontario, Canada",24/06/2014,03/09/2014,Yes,Data from P&WC ER-8343-II,PW307D Build Spec. 1318,"Engines tested: CH0005B25 (production standard development engine), CM0005B02, and CM0009B01","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P07PW145,7,Pratt & Whitney Canada,PW308A,Annular,MTF,4.1,20.4,30.7,C,,,DTEPS,Yes,,,0,0,0.02,6.62,3,3,15.0,,14.4,15.88,17.5,89.3,460,0.83,1.06,4.08,38.21,3,3,92.1,,87.17,98.01,99.6,84.4,2828,16.74,14.06,8.03,3.65,3,3,42.3,,41.21,42.94,44.8,55.4,69.3,70.2,70.7,74.9,2.3.2 d),1300,15,15,2.5,1.7,3,3,15.1,,15,15.3,17.1,52.3,Jet A-1,1.85,1.87,19.5,21.5,0.360,0.299,0.124,0.045,154,0,,0,,99.4,103,280,296,0.0028,0.009,PW308 Development Engineering,"Mississauga, Ontario, Canada",15/04/2000,05/09/2000,,P&WC ER 3967,"Engines E9608/01, E9606/04, E9609/01","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)",,,,
03P14PW194,14,Pratt & Whitney Canada,PW308C BS 1289,TALON II,MTF,4.1,21.1,31.2,C/R,,,NME,Yes,,,0,0,0,0.39,3,3,1,0.7,0.2,1.5,1.1,5.6,30,0.5,0.57,4.18,37.05,3,3,95.1,5.9,88.4,99.8,102.8,87.1,2961,19.1,14.96,6.8,3.53,3,3,43.7,1.1,42.4,44.3,46.3,56.4,70.5,71.5,72,76.3,2.3.2 d),1359,6.6,6.8,2.2,5.7,3,3,8.2,0.7,7.5,8.9,9.1,27.9,Jet A-1,1.85,1.89,17.6,21.7,0.370,0.307,0.116,0.049,160,0,,0,,98.3,100.7,275,278,0.0024,0.0047,PW308 Development Engineering,"Mississauga, Ontario, Canada",31/03/2012,31/05/2012,Yes,P&WC ER 7939,"Engines tested: CF0550/01, CF0551/01, CH0568/01",TALON II combustion system,PW308C Build Spec 1289,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II","NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)",,
12PW102,12,Pratt & Whitney,PW4062,Phase III,TF,4.6,31,275.8,C,,,DTEPS,Yes,,,0.08,0.07,0.09,10.86,4,2,13.0,,,,17.0,86.5,3594,0.61,0.5,1.93,42.61,4,2,52.5,,,,59.8,50.7,14475,34.36,25.98,12.17,3.78,4,2,52.8,,,,58.0,56.7,71.1,84,95.1,111.2,2.3.2 d),14555,8.5,6,0.5,0.1,4,2,8.5,,,,10,56,Jet A,1.89,1.89,18.6,18.6,2.725,2.125,0.718,0.21,894,0,,0,,101.9,102.6,173.2,279.8,0.0022,0.0038,Pratt & Whitney,"P7 Production Test Cell, Middletown, CT",11/03/2012,12/03/2012,Yes,Data from Report PWA-9720-20 with Phase 3 reduced pressure loss combustor,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)",,,,,
01P14RR101,14,Rolls-Royce plc,Trent 768,Phase5,MTF,5.2,34.5,304.2,C,,,DTEPS,Yes,,,0,0.01,0.04,3.19,9,3,4.3,1.0,3.12,4.93,5,25.5,1303,0.35,0.49,1.71,26.94,9,3,37.5,6.5,30.3,42.94,40.6,34.4,11411,32.01,24.9,10.12,4.46,9,3,50.7,2.2,49.18,53.18,53.7,49.3,61.6,70.7,79,90.8,2.3.2 e),15414,1.5,1.8,0.5,0.2,9,3,1.9,0.7,1.2,2.5,2.1,12,,1.91,1.91,17.7,17.7,2.907,2.375,0.781,0.259,1027,0,,0,,95.1,101.3,279.8,293.2,0.00473,0.00886,Rolls-Royce plc,Derby,16/03/1995,02/06/2014,Yes,Data from Certification Report DNS196860,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)

",,,,,
01P14RR102,14,Rolls-Royce plc,Trent 772,Phase5,MTF,5.0,36.3,320.3,C/R,,,DTEPS,Yes,,,0.01,0.01,0.04,2.46,9,3,3.3,0.8,2.41,3.74,3.8,19.5,1048,0.21,0.49,1.56,23.97,9,3,33.1,5.6,26.8,37.48,35.8,30.4,10606,35.56,26.82,10.42,4.66,9,3,55.2,2.4,53.41,57.9,58.4,51.9,64.8,73.4,81.6,93.1,2.3.2 e),17668,1.4,1.8,0.6,0.2,9,3,1.9,0.7,1.3,2.6,2.1,12.4,,1.91,1.91,17.7,17.7,3.139,2.530,0.821,0.270,1085,0,,0,,95.1,101.3,279.8,293.2,0.00473,0.00886,Rolls-Royce plc,Derby,16/03/1995,02/06/2014,Yes,Data from Certification Report DNS196860,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",Same results for Trent 772 B and Trent 772C,,,,
